Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Thu Dec 1 2016,10:30 pm,Houston Rockets,,Golden State Warriors,,,,
Thu Dec 1 2016,8:00 pm,Orlando Magic,,Memphis Grizzlies,,,,
Thu Dec 1 2016,9:00 pm,Miami Heat,,Utah Jazz,,,,
Fri Dec 2 2016,8:00 pm,Detroit Pistons,,Atlanta Hawks,,,,
Fri Dec 2 2016,7:30 pm,Sacramento Kings,,Boston Celtics,,,,
Fri Dec 2 2016,8:00 pm,Cleveland Cavaliers,,Chicago Bulls,,,,
Fri Dec 2 2016,10:30 pm,Houston Rockets,,Denver Nuggets,,,,
Fri Dec 2 2016,8:00 pm,Los Angeles Clippers,,New Orleans Pelicans,,,,
Fri Dec 2 2016,7:30 pm,Minnesota Timberwolves,,New York Knicks,,,,
Fri Dec 2 2016,7:00 pm,Orlando Magic,,Philadelphia 76ers,,,,
Fri Dec 2 2016,8:30 pm,Washington Wizards,,San Antonio Spurs,,,,
Fri Dec 2 2016,7:30 pm,Los Angeles Lakers,,Toronto Raptors,,,,
Sat Dec 3 2016,7:00 pm,Minnesota Timberwolves,,Charlotte Hornets,,,,
Sat Dec 3 2016,8:30 pm,Chicago Bulls,,Dallas Mavericks,,,,
Sat Dec 3 2016,10:30 pm,Phoenix Suns,,Golden State Warriors,,,,
Sat Dec 3 2016,8:00 pm,Los Angeles Lakers,,Memphis Grizzlies,,,,
Sat Dec 3 2016,5:00 pm,Brooklyn Nets,,Milwaukee Bucks,,,,
Sat Dec 3 2016,7:30 pm,Boston Celtics,,Philadelphia 76ers,,,,
Sat Dec 3 2016,10:00 pm,Miami Heat,,Portland Trail Blazers,,,,
Sat Dec 3 2016,7:30 pm,Atlanta Hawks,,Toronto Raptors,,,,
Sat Dec 3 2016,9:00 pm,Denver Nuggets,,Utah Jazz,,,,
Sun Dec 4 2016,6:00 pm,Orlando Magic,,Detroit Pistons,,,,
Sun Dec 4 2016,9:30 pm,Indiana Pacers,,Los Angeles Clippers,,,,
Sun Dec 4 2016,7:30 pm,Sacramento Kings,,New York Knicks,,,,
Sun Dec 4 2016,7:00 pm,New Orleans Pelicans,,Oklahoma City Thunder,,,,
Mon Dec 5 2016,7:30 pm,Oklahoma City Thunder,,Atlanta Hawks,,,,
Mon Dec 5 2016,7:30 pm,Washington Wizards,,Brooklyn Nets,,,,
Mon Dec 5 2016,8:00 pm,Portland Trail Blazers,,Chicago Bulls,,,,
Mon Dec 5 2016,8:30 pm,Charlotte Hornets,,Dallas Mavericks,,,,
Mon Dec 5 2016,10:30 pm,Indiana Pacers,,Golden State Warriors,,,,
Mon Dec 5 2016,8:00 pm,Boston Celtics,,Houston Rockets,,,,
Mon Dec 5 2016,10:30 pm,Utah Jazz,,Los Angeles Lakers,,,,
Mon Dec 5 2016,8:00 pm,San Antonio Spurs,,Milwaukee Bucks,,,,
Mon Dec 5 2016,8:00 pm,Memphis Grizzlies,,New Orleans Pelicans,,,,
Mon Dec 5 2016,7:00 pm,Denver Nuggets,,Philadelphia 76ers,,,,
Mon Dec 5 2016,7:30 pm,Cleveland Cavaliers,,Toronto Raptors,,,,
Tue Dec 6 2016,7:30 pm,Chicago Bulls,,Detroit Pistons,,,,
Tue Dec 6 2016,8:00 pm,Philadelphia 76ers,,Memphis Grizzlies,,,,
Tue Dec 6 2016,7:30 pm,New York Knicks,,Miami Heat,,,,
